sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
39 - 1,ผบ.1175/2561,858,ที่ดินว่างเปล่า,0,2,0,ยางโทน,หนองม่วง,ลพบุรี,10000,ปลอดการจำนอง,200000,2024-06-03,20240604,-,"['20240220', '20240312', '20240402', '20240423', '20240514', '20240604']",6,3,140000,https://asset.led.go.th/PPKPicture/2566/11-2566/22/858p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/22/858j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1175&law_suit_year=2561&deed_no=858&addrno=-
39 - 1,ผบ.202/2559,61388,ที่ดินพร้อมสิ่งปลูกสร้าง,20,2,0,เขาสามยอด,เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,2364920,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,2364920,https://asset.led.go.th/PPKPicture/2567/05-2567/01/61387p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/01/61387j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.202&law_suit_year=2559&deed_no=61388&addrno=18/4,%20%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
40 - 1,ผบ.4854/2559,1001,ที่ดินพร้อมสิ่งปลูกสร้าง,97,0,0,ห้วยโป่ง,โคกสำโรง,ลพบุรี,50000,ปลอดภาระผูกพัน,1741700,2024-06-03,20240604,-,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,2,1393360,https://asset.led.go.th/PPKPicture/2567/01-2567/25/1001p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/25/1001j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4854&law_suit_year=2559&deed_no=1001&addrno=11
40 - 1,ผบ.3096/2563,4653,ที่ดินพร้อมสิ่งปลูกสร้าง,15.6,0,0,พัฒนานิคม,พัฒนานิคม,ลพบุรี,5000,การจำนองติดไป,265500,2024-06-03,20240604,-,"['20240604', '20240625', '20240716', '20240806', '20240827', '20240917']",1,0,265500,https://asset.led.go.th/PPKPicture/2567/03-2567/07/4653p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/07/4653j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3096&law_suit_year=2563&deed_no=4653&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
40 - 1,ผบE.60/2566,34416,ที่ดินพร้อมสิ่งปลูกสร้าง,70,0,0,ช่องสาริกา,พัฒนานิคม,ลพบุรี,50000,ปลอดการจำนอง,845200,2024-06-03,20240618,ขายได้,"['20240305', '20240326', '20240412', '20240507', '20240528', '20240618']",6,3,591640,https://asset.led.go.th/PPKPicture/2566/12-2566/06/34416p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/06/34416j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.60&law_suit_year=2566&deed_no=34416&addrno=459/74
40 - 1,มย.12/2562,1368,ที่ดินว่างเปล่า,65,0,22,บางขันหมาก,เมืองลพบุรี,ลพบุรี,150000,ปลอดภาระผูกพัน,3900600,2024-06-03,20240618,-,"['20240507', '20240528', '20240618', '20240709', '20240730', '20240820']",3,2,3120480,https://asset.led.go.th/PPKPicture/2567/02-2567/06/1368p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/06/1368j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.12&law_suit_year=2562&deed_no=1368&addrno=-
40 - 1,ผบE.2463/2564,22125,ที่ดินพร้อมสิ่งปลูกสร้าง,18.5,2,0,บ้านเบิก,ท่าวุ้ง,ลพบุรี,50000,ปลอดภาระผูกพัน,834570,2024-06-03,20240611,-,"['20240409', '20240430', '20240521', '20240611', '20240702', '20240723']",4,3,584199,https://asset.led.go.th/PPKPicture/2567/01-2567/10/22125p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/10/22125j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2463&law_suit_year=2564&deed_no=22125&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
40 - 1,ผบ.809/2561,63687,ที่ดินว่างเปล่า,13,1,0,โคกลำพาน,เมืองลพบุรี,ลพบุรี,5000,ปลอดภาระผูกพัน,62150,2024-06-03,20240618,-,"['20240618', '20240709', '20240730', '20240820', '20240910', '20241001']",1,0,62150,https://asset.led.go.th/PPKPicture/2567/03-2567/22/63687p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/22/63687j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.809&law_suit_year=2561&deed_no=63687&addrno=-
40 - 1,ผบE.2637/2566,59187,ที่ดินพร้อมสิ่งปลูกสร้าง,20.1,0,0,กกโก,เมืองลพบุรี,ลพบุรี,5000,การจำนองติดไป,554250,2024-06-03,20240716,ถอนการยึด,"['20240716', '20240806', '20240827', '20240917', '20241008', '20241029']",1,0,554250,https://asset.led.go.th/PPKPicture/2567/04-2567/19/59187p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/19/59187j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2637&law_suit_year=2566&deed_no=59187&addrno=142/370
40 - 1,ผบE.1521/2565,12418,ที่ดินพร้อมสิ่งปลูกสร้าง,64,0,0,สะแกราบ,โคกสำโรง,ลพบุรี,25000,การจำนองติดไป,1488120,2024-06-03,20240611,ถอนการยึด,"['20240319', '20240409', '20240430', '20240521', '20240611', '20240702']",5,0,1488120,https://asset.led.go.th/PPKPicture/2566/12-2566/20/12418p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/20/12418j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1521&law_suit_year=2565&deed_no=12418&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
