sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
4 - 1,ผบ.433/2565,67206,ที่ดินพร้อมสิ่งปลูกสร้าง,17.7,0,0,เสาธงหิน,บางใหญ่,นนทบุรี,150000,ปลอดการจำนอง,1174200,2024-06-03,20240613,ขายได้,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",6,0,1174200,https://asset.led.go.th/PPKPicture/2566/12-2566/27/67206p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/27/67206j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.433&law_suit_year=2565&deed_no=67206&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,19/54"
4 - 1,ผบE.3615/2565,109562,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,บางคูรัด,บางบัวทอง,นนทบุรี,50000,ปลอดการจำนอง,868410,2024-06-03,20240704,-,"['20240704', '20240725', '20240815', '20240905', '20240926', '20241017']",1,0,868410,https://asset.led.go.th/PPKPicture/2567/05-2567/03/109562p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/03/109562j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3615&law_suit_year=2565&deed_no=109562&addrno=46/1498
5 - 1,ผบE.758/2566,103213,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,บางคูรัด,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1236900,2024-06-03,20240606,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,1236900,https://asset.led.go.th/PPKPicture/2567/02-2567/20/103213p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/103213j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.758&law_suit_year=2566&deed_no=103213&addrno=79/80
5 - 1,มยE.25/2566,174594,ที่ดินพร้อมสิ่งปลูกสร้าง,53.2,0,0,ลำโพ,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,2773400,2024-06-03,20240620,-,"['20240328', '20240418', '20240509', '20240530', '20240620', '20240711']",5,0,2773400,https://asset.led.go.th/PPKPicture/2567/01-2567/23/174594p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/23/174594j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2E.25&law_suit_year=2566&deed_no=174594&addrno=119/304
5 - 1,ผบE.1758/2565,142358,ที่ดินพร้อมสิ่งปลูกสร้าง,80,0,0,ลำโพ,บางบัวทอง,นนทบุรี,250000,ปลอดการจำนอง,3567750,2024-06-03,20240704,งดขาย,"['20240704', '20240725', '20240815', '20240905', '20240926', '20241017']",1,0,3567750,https://asset.led.go.th/PPKPicture/2567/05-2567/03/142358p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/03/142358j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1758&law_suit_year=2565&deed_no=142358&addrno=98/17
5 - 1,ผบE.3058/2565,"1975,57807,57808",ห้องชุด,24.96,0,0,บางกระสอ,เมืองนนทบุรี,นนทบุรี,150000,ปลอดการจำนอง,1694784,2024-06-03,20240613,ขายได้,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",6,0,1694784,https://asset.led.go.th/PPKPicture/2566/12-2566/27/c185-525p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/27/c185-525j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3058&law_suit_year=2565&deed_no=1975,57807,57808&addrno=185/525"
5 - 1,ผบE.2553/2566,47646,ห้องชุด,35.54,0,0,บางรักพัฒนา,บางบัวทอง,นนทบุรี,25000,ปลอดการจำนอง,238118,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,238118,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c212-385p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c212-385j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2553&law_suit_year=2566&deed_no=47646&addrno=212/385
5 - 1,ผบ.11363/2561,"40863,157128",ห้องชุด,20.21,0,0,บางกระสอ(บางสร้อยทอง),เมืองนนทบุรี,นนทบุรี,25000,ปลอดภาระผูกพัน,276877,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,276877,https://asset.led.go.th/PPKPicture/2567/05-2567/24/c88-222p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/c88-222j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.11363&law_suit_year=2561&deed_no=40863,157128&addrno=88/222"
5 - 1,ผบ.4297/2559,154608,ห้องชุด,32.84,0,0,บ้านใหม่,ปากเกร็ด,นนทบุรี,50000,ปลอดภาระผูกพัน,512304,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,512304,https://asset.led.go.th/PPKPicture/2567/04-2567/10/c19-678p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/c19-678j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4297&law_suit_year=2559&deed_no=154608&addrno=19/678
5 - 1,ผบ.1682/2565,7701,ห้องชุด,54.74,0,0,บางพูด,ปากเกร็ด,นนทบุรี,150000,ปลอดการจำนอง,1962000,2024-06-03,20240606,-,"['20240314', '20240404', '20240425', '20240516', '20240606', '20240627']",5,0,1962000,https://asset.led.go.th/PPKPicture/2567/01-2567/15/c224-388p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/15/c224-388j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1682&law_suit_year=2565&deed_no=7701&addrno=224/388
6 - 1,ผบE.716/2566,112316,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,บางบัวทอง,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1224560,2024-06-03,20240606,ขายได้,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,1224560,https://asset.led.go.th/PPKPicture/2567/02-2567/20/112316p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/112316j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.716&law_suit_year=2566&deed_no=112316&addrno=98/377
6 - 1,พ.259/2566,58375,ที่ดินพร้อมสิ่งปลูกสร้าง,43,0,0,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,150000,ปลอดการจำนอง,1129100,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,1129100,https://asset.led.go.th/PPKPicture/2567/03-2567/12/58375p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/58375j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.259&law_suit_year=2566&deed_no=58375&addrno=75/2
6 - 1,ผบ.1126/2560,109729,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,บางคูรัด,บางบัวทอง,นนทบุรี,50000,ปลอดการจำนอง,597030,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,597030,https://asset.led.go.th/PPKPicture/2567/04-2567/10/109729p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/109729j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1126&law_suit_year=2560&deed_no=109729&addrno=46/1277
