sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
6 - 1,ผบ.12098/2562,204195,ที่ดินพร้อมสิ่งปลูกสร้าง,16.5,0,0,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,878046,2024-06-03,20240611,-,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,3,614632,https://asset.led.go.th/PPKPicture/2566/12-2566/18/204195p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/204195j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.12098&law_suit_year=2562&deed_no=204195&addrno=95/88
6 - 1,ผบE.4455/2564,195473,ที่ดินพร้อมสิ่งปลูกสร้าง,21,0,0,หนองไม้แดง,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,988842,2024-06-03,20240618,ถอนการยึด,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,988842,https://asset.led.go.th/PPKPicture/2567/03-2567/21/195473p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/195473j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4455&law_suit_year=2564&deed_no=195473&addrno=109/47
6 - 1,ผบ.11524/2562,24198,ที่ดินพร้อมสิ่งปลูกสร้าง,19,0,0,หนองซ้ำซาก,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,321200,2024-06-03,20240611,ถอนการยึด,"['20240430', '20240521', '20240611', '20240702', '20240723', '20240813']",3,0,321200,https://asset.led.go.th/PPKPicture/2567/02-2567/16/24198p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/16/24198j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.11524&law_suit_year=2562&deed_no=24198&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
6 - 1,ผบ.1459/2557,61680,ที่ดินพร้อมสิ่งปลูกสร้าง,50.4,0,0,หนองชาก,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,1565000,2024-06-03,20240618,-,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,3,1095500,https://asset.led.go.th/PPKPicture/2567/01-2567/17/61680p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/61680j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1459&law_suit_year=2557&deed_no=61680&addrno=8/389
7 - 1,ผบ.9898/2561,51109,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,หนองกะขะ,พานทอง,ชลบุรี,10000,การจำนองติดไป,702980,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,702980,https://asset.led.go.th/PPKPicture/2567/04-2567/18/51109p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/51109j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.9898&law_suit_year=2561&deed_no=51109&addrno=159/37,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
7 - 1,ผบE.5215/2565,6392,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,บ้านบึง,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,440960,2024-06-03,20240611,ถอนการยึด,"['20240430', '20240521', '20240611', '20240702', '20240723', '20240813']",3,0,440960,https://asset.led.go.th/PPKPicture/2567/02-2567/16/6392p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/16/6392j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.5215&law_suit_year=2565&deed_no=6392&addrno=130
7 - 1,พ.228/2558,231793,ที่ดินพร้อมสิ่งปลูกสร้าง,20.2,0,0,หนองขาม,ศรีราชา,ชลบุรี,10000,การจำนองติดไป,1613528,2024-06-03,20240618,งดการบังคับคดี,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,1613528,https://asset.led.go.th/PPKPicture/2567/03-2567/21/231793p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/231793j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.228&law_suit_year=2558&deed_no=231793&addrno=112/87
7 - 1,ผบ.1150/2562,166426,ที่ดินพร้อมสิ่งปลูกสร้าง,40,0,0,สุรศักดิ์,ศรีราชา,ชลบุรี,10000,การจำนองติดไป,1004800,2024-06-03,20240611,เจ้าพนักงานงดขาย,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,1,904320,https://asset.led.go.th/PPKPicture/2566/12-2566/18/166426p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/166426j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1150&law_suit_year=2562&deed_no=166426&addrno=205/46
7 - 1,ผบ.10608/2562,12735,ที่ดินพร้อมสิ่งปลูกสร้าง,23.7,0,0,บ้านบึง,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,781200,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,781200,https://asset.led.go.th/PPKPicture/2567/05-2567/15/12735p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/12735j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.10608&law_suit_year=2562&deed_no=12735&addrno=80
7 - 1,ผบ.2142/2564,206392,ที่ดินพร้อมสิ่งปลูกสร้าง,21.3,0,0,นาป่า,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1226562,2024-06-03,20240618,-,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,2,981249,https://asset.led.go.th/PPKPicture/2567/01-2567/17/206392p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/206392j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2142&law_suit_year=2564&deed_no=206392&addrno=82/58
