sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
7 - 1,ผบE.860/2565,"115766,115768,115772,115774,115775,115776",ห้องชุด,32.62,0,0,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,433846,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,433846,https://asset.led.go.th/PPKPicture/2567/04-2567/30/c156-658p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/c156-658j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.860&law_suit_year=2565&deed_no=115766,115768,115772,115774,115775,115776&addrno=156/658"
7 - 1,ผบ.3027/2562,136239,ที่ดินพร้อมสิ่งปลูกสร้าง,57,0,0,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,2790474,2024-06-03,20240612,ถอนการยึด,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,0,2790474,https://asset.led.go.th/PPKPicture/2566/11-2566/30/136239p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/136239j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3027&law_suit_year=2562&deed_no=136239&addrno=79/159
7 - 1,ผบE.824/2565,70164,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,578388,2024-06-03,20240619,ถอนการยึด,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,578388,https://asset.led.go.th/PPKPicture/2566/12-2566/28/70164p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/70164j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.824&law_suit_year=2565&deed_no=70164&addrno=9/79
7 - 1,ผบ.1205/2563,"17513,109524,109526",ห้องชุด,33.49,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,750176,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,1,675158,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c50-168p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c50-168j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1205&law_suit_year=2563&deed_no=17513,109524,109526&addrno=50/168"
7 - 1,ผบE.1008/2566,86027,ที่ดินพร้อมสิ่งปลูกสร้าง,17.8,0,0,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1359516,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,1359516,https://asset.led.go.th/PPKPicture/2567/03-2567/29/86027p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/86027j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1008&law_suit_year=2566&deed_no=86027&addrno=88/27
7 - 1,ผบ.4155/2560,127702,ที่ดินพร้อมสิ่งปลูกสร้าง,17.1,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1147500,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,1147500,https://asset.led.go.th/PPKPicture/2567/02-2567/29/127702p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/127702j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4155&law_suit_year=2560&deed_no=127702&addrno=173/287
7 - 1,ผบ.1205/2563,"17513,109524,109526",ห้องชุด,33.49,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,750176,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,1,675158,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c50-169p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c50-169j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1205&law_suit_year=2563&deed_no=17513,109524,109526&addrno=50/169"
8 - 1,ผบE.1238/2564,87701,ที่ดินพร้อมสิ่งปลูกสร้าง,19.2,0,0,ตลาดกระทุ่มแบน,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1358551,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,1358551,https://asset.led.go.th/PPKPicture/2567/01-2567/30/87701p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/87701j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1238&law_suit_year=2564&deed_no=87701&addrno=368/51
8 - 1,ผบ.1695/2557,"62341,66877,66878,66881",ห้องชุด,33.27,0,0,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,25000,ปลอดภาระผูกพัน,402567,2024-06-03,20240619,-,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,281796,https://asset.led.go.th/PPKPicture/2566/12-2566/28/c78-20p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/c78-20j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1695&law_suit_year=2557&deed_no=62341,66877,66878,66881&addrno=78/20"
8 - 1,ผบE.2792/2565,125246,ที่ดินพร้อมสิ่งปลูกสร้าง,82.9,0,0,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,3869260,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,3869260,https://asset.led.go.th/PPKPicture/2567/04-2567/30/125246p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/125246j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2792&law_suit_year=2565&deed_no=125246&addrno=131/70
